Anio,Semana,Entidad,Padecimiento,Casos_semana,Acumulado_hombres,Acumulado_mujeres,Acumulado_anio_anterior
2014,02,Morelos,Parkinson,0,0,0,
2014,02,Morelos,Alzheimer,0,0,0,
2014,02,Nayarit,Depresión,0,0,0,
2014,02,Nayarit,Parkinson,0,0,0,
2014,02,Nayarit,Alzheimer,0,0,0,
2014,02,Nuevo León,Depresión,0,0,0,
2014,02,Nuevo León,Parkinson,0,0,0,
2014,02,Nuevo León,Alzheimer,0,0,0,
2014,02,Oaxaca,Depresión,4,0,4,
2014,02,Oaxaca,Parkinson,1,0,1,
2014,02,Oaxaca,Alzheimer,0,0,0,
2014,02,Puebla,Depresión,1,0,1,
2014,02,Puebla,Parkinson,1,0,1,
2014,02,Puebla,Alzheimer,0,0,0,
2014,02,Querétaro,Depresión,0,0,0,
2014,02,Querétaro,Parkinson,0,0,0,
2014,02,Querétaro,Alzheimer,0,0,0,
2014,02,Quintana Roo,Depresión,0,0,0,
2014,02,Quintana Roo,Parkinson,0,0,0,
2014,02,Quintana Roo,Alzheimer,0,0,0,
2014,02,San Luis Potosí,Depresión,3,0,3,
2014,02,San Luis Potosí,Parkinson,0,0,0,
2014,02,San Luis Potosí,Alzheimer,0,0,0,
2014,02,Sinaloa,Depresión,18,0,18,
2014,02,Sinaloa,Parkinson,3,2,1,
2014,02,Sinaloa,Alzheimer,1,0,1,
2014,02,Sonora,Depresión,10,2,8,
2014,02,Sonora,Parkinson,0,0,0,
2014,02,Sonora,Alzheimer,0,0,0,
2014,02,Tabasco,Depresión,0,0,0,
2014,02,Tabasco,Parkinson,0,0,0,
2014,02,Tabasco,Alzheimer,0,0,0,
2014,02,Tamaulipas,Depresión,0,0,0,
2014,02,Tamaulipas,Parkinson,0,0,0,
2014,02,Tamaulipas,Alzheimer,0,0,0,
2014,02,Tlaxcala,Depresión,0,0,0,
2014,02,Tlaxcala,Parkinson,0,0,0,
2014,02,Tlaxcala,Alzheimer,0,0,0,
2014,02,Veracruz,Depresión,16,7,9,
2014,02,Veracruz,Parkinson,1,1,0,
2014,02,Veracruz,Alzheimer,0,0,0,
2014,02,Yucatán,Depresión,19,5,14,
2014,02,Yucatán,Parkinson,4,1,3,
2014,02,Yucatán,Alzheimer,2,2,0,
2014,02,Zacatecas,Depresión,1,0,1,
2014,02,Zacatecas,Parkinson,0,0,0,
2014,02,Zacatecas,Alzheimer,0,0,0,
2014,03,Aguascalientes,Depresión,2,2,1,
2014,03,Aguascalientes,Parkinson,0,0,0,
2014,03,Aguascalientes,Alzheimer,0,0,0,
2014,03,Baja California,Depresión,50,10,42,
2014,03,Baja California,Parkinson,6,2,5,
2014,03,Baja California,Alzheimer,6,1,5,
2014,03,Baja California Sur,Depresión,2,1,1,
2014,03,Baja California Sur,Parkinson,0,0,0,
2014,03,Baja California Sur,Alzheimer,0,0,0,
2014,03,Campeche,Depresión,11,2,11,
2014,03,Campeche,Parkinson,1,0,1,
2014,03,Campeche,Alzheimer,0,0,0,
2014,03,Coahuila,Depresión,23,6,23,
2014,03,Coahuila,Parkinson,6,3,3,
2014,03,Coahuila,Alzheimer,0,0,0,
2014,03,Colima,Depresión,13,5,8,
2014,03,Colima,Parkinson,1,1,0,
2014,03,Colima,Alzheimer,0,0,0,
2014,03,Chiapas,Depresión,13,3,10,
2014,03,Chiapas,Parkinson,1,1,0,
2014,03,Chiapas,Alzheimer,0,0,0,
2014,03,Chihuahua,Depresión,51,8,44,
2014,03,Chihuahua,Parkinson,4,3,1,
2014,03,Chihuahua,Alzheimer,2,0,2,
2014,03,Distrito Federal,Depresión,71,17,62,
2014,03,Distrito Federal,Parkinson,6,1,5,
2014,03,Distrito Federal,Alzheimer,1,1,0,
2014,03,Durango,Depresión,1,0,6,
2014,03,Durango,Parkinson,0,0,0,
2014,03,Durango,Alzheimer,0,0,0,
2014,03,Guanajuato,Depresión,2,0,2,
2014,03,Guanajuato,Parkinson,0,0,0,
2014,03,Guanajuato,Alzheimer,0,0,1,
2014,03,Guerrero,Depresión,20,4,20,
2014,03,Guerrero,Parkinson,2,2,0,
2014,03,Guerrero,Alzheimer,0,0,0,
2014,03,Hidalgo,Depresión,3,2,1,
2014,03,Hidalgo,Parkinson,2,0,2,
2014,03,Hidalgo,Alzheimer,0,0,0,
2014,03,Jalisco,Depresión,23,6,19,
2014,03,Jalisco,Parkinson,0,0,0,
2014,03,Jalisco,Alzheimer,0,0,0,
2014,03,México,Depresión,83,14,72,
2014,03,México,Parkinson,14,9,5,
2014,03,México,Alzheimer,0,0,0,
2014,03,Michoacán,Depresión,27,10,23,
2014,03,Michoacán,Parkinson,6,3,3,
2014,03,Michoacán,Alzheimer,2,1,1,
2014,03,Morelos,Depresión,33,11,41,
2014,03,Morelos,Parkinson,5,4,1,
2014,03,Morelos,Alzheimer,0,0,0,
2014,03,Nayarit,Depresión,17,5,12,
2014,03,Nayarit,Parkinson,2,2,0,
2014,03,Nayarit,Alzheimer,2,0,2,
2014,03,Nuevo León,Depresión,32,3,29,
2014,03,Nuevo León,Parkinson,5,2,3,
2014,03,Nuevo León,Alzheimer,3,1,2,
2014,03,Oaxaca,Depresión,10,2,12,
2014,03,Oaxaca,Parkinson,2,1,2,
2014,03,Oaxaca,Alzheimer,1,1,0,
2014,03,Puebla,Depresión,1,0,2,
2014,03,Puebla,Parkinson,0,0,1,
2014,03,Puebla,Alzheimer,0,0,0,
2014,03,Querétaro,Depresión,3,0,3,
2014,03,Querétaro,Parkinson,0,0,0,
2014,03,Querétaro,Alzheimer,0,0,0,
2014,03,Quintana Roo,Depresión,6,2,4,
2014,03,Quintana Roo,Parkinson,4,3,1,
2014,03,Quintana Roo,Alzheimer,1,1,0,
2014,03,San Luis Potosí,Depresión,9,1,11,
2014,03,San Luis Potosí,Parkinson,2,1,1,
2014,03,San Luis Potosí,Alzheimer,0,0,0,
2014,03,Sinaloa,Depresión,31,6,44,
2014,03,Sinaloa,Parkinson,9,6,6,
2014,03,Sinaloa,Alzheimer,2,0,3,
2014,03,Sonora,Depresión,24,6,28,
2014,03,Sonora,Parkinson,4,3,1,
2014,03,Sonora,Alzheimer,4,3,1,
2014,03,Tabasco,Depresión,5,2,3,
2014,03,Tabasco,Parkinson,1,0,1,
2014,03,Tabasco,Alzheimer,0,0,0,
2014,03,Tamaulipas,Depresión,28,4,24,
2014,03,Tamaulipas,Parkinson,6,4,2,
2014,03,Tamaulipas,Alzheimer,2,1,1,
2014,03,Tlaxcala,Depresión,0,0,0,
2014,03,Tlaxcala,Parkinson,0,0,0,
2014,03,Tlaxcala,Alzheimer,0,0,0,
2014,03,Veracruz,Depresión,31,12,35,
2014,03,Veracruz,Parkinson,0,1,0,
2014,03,Veracruz,Alzheimer,1,1,0,
2014,03,Yucatán,Depresión,18,10,27,
2014,03,Yucatán,Parkinson,0,1,3,
2014,03,Yucatán,Alzheimer,2,3,1,
2014,03,Zacatecas,Depresión,15,4,12,
2014,03,Zacatecas,Parkinson,0,0,0,
2014,03,Zacatecas,Alzheimer,0,0,0,
2014,04,Aguascalientes,Depresión,1,2,2,
2014,04,Aguascalientes,Parkinson,1,0,1,
2014,04,Aguascalientes,Alzheimer,0,0,0,
2014,04,Baja California,Depresión,54,17,89,
2014,04,Baja California,Parkinson,2,3,6,
2014,04,Baja California,Alzheimer,1,1,6,
2014,04,Baja California Sur,Depresión,8,3,7,
2014,04,Baja California Sur,Parkinson,3,1,2,
2014,04,Baja California Sur,Alzheimer,0,0,0,
2014,04,Campeche,Depresión,10,2,21,
2014,04,Campeche,Parkinson,0,0,1,
2014,04,Campeche,Alzheimer,1,1,0,
2014,04,Coahuila,Depresión,19,8,40,
2014,04,Coahuila,Parkinson,6,8,4,
2014,04,Coahuila,Alzheimer,0,0,0,
2014,04,Colima,Depresión,22,8,27,
2014,04,Colima,Parkinson,3,2,2,
2014,04,Colima,Alzheimer,0,0,0,
2014,04,Chiapas,Depresión,10,6,17,
2014,04,Chiapas,Parkinson,3,4,0,
2014,04,Chiapas,Alzheimer,1,1,0,
2014,04,Chihuahua,Depresión,46,21,77,
2014,04,Chihuahua,Parkinson,5,6,3,
2014,04,Chihuahua,Alzheimer,2,1,3,
2014,04,Distrito Federal,Depresión,150,52,177,
2014,04,Distrito Federal,Parkinson,11,6,11,
2014,04,Distrito Federal,Alzheimer,0,1,0,
2014,04,Durango,Depresión,21,3,24,
2014,04,Durango,Parkinson,3,1,2,
2014,04,Durango,Alzheimer,0,0,0,
2014,04,Guanajuato,Depresión,4,0,6,
2014,04,Guanajuato,Parkinson,1,0,1,
2014,04,Guanajuato,Alzheimer,0,0,1,
2014,04,Guerrero,Depresión,8,6,26,
2014,04,Guerrero,Parkinson,7,4,5,
2014,04,Guerrero,Alzheimer,1,0,1,
2014,04,Hidalgo,Depresión,13,6,10,
2014,04,Hidalgo,Parkinson,5,3,4,
2014,04,Hidalgo,Alzheimer,0,0,0,
2014,04,Jalisco,Depresión,11,9,30,
2014,04,Jalisco,Parkinson,1,1,0,
2014,04,Jalisco,Alzheimer,1,0,1,
2014,04,México,Depresión,104,32,158,
2014,04,México,Parkinson,23,23,14,
2014,04,México,Alzheimer,11,5,6,
2014,04,Michoacán,Depresión,30,17,46,
2014,04,Michoacán,Parkinson,5,7,4,
2014,04,Michoacán,Alzheimer,2,2,2,
2014,04,Morelos,Depresión,41,19,74,
2014,04,Morelos,Parkinson,6,7,4,
2014,04,Morelos,Alzheimer,0,0,0,
2014,04,Nayarit,Depresión,14,7,24,
2014,04,Nayarit,Parkinson,1,2,1,
2014,04,Nayarit,Alzheimer,0,0,2,
2014,04,Nuevo León,Depresión,72,22,82,
2014,04,Nuevo León,Parkinson,6,7,4,
2014,04,Nuevo León,Alzheimer,6,4,5,
2014,04,Oaxaca,Depresión,11,4,21,
2014,04,Oaxaca,Parkinson,3,3,3,
2014,04,Oaxaca,Alzheimer,1,2,0,
2014,04,Puebla,Depresión,14,4,12,
2014,04,Puebla,Parkinson,0,0,1,
2014,04,Puebla,Alzheimer,0,0,0,
2014,04,Querétaro,Depresión,2,1,4,
2014,04,Querétaro,Parkinson,0,0,0,
2014,04,Querétaro,Alzheimer,0,0,0,
2014,04,Quintana Roo,Depresión,13,6,13,
2014,04,Quintana Roo,Parkinson,1,4,1,
2014,04,Quintana Roo,Alzheimer,1,1,1,
2014,04,San Luis Potosí,Depresión,19,7,24,
2014,04,San Luis Potosí,Parkinson,1,2,1,
2014,04,San Luis Potosí,Alzheimer,1,1,0,
2014,04,Sinaloa,Depresión,38,12,76,
2014,04,Sinaloa,Parkinson,7,10,9,
2014,04,Sinaloa,Alzheimer,6,3,6,
2014,04,Sonora,Depresión,40,15,59,
2014,04,Sonora,Parkinson,7,9,2,
2014,04,Sonora,Alzheimer,3,6,1,
2014,04,Tabasco,Depresión,15,3,17,
2014,04,Tabasco,Parkinson,1,1,1,
2014,04,Tabasco,Alzheimer,1,0,1,
2014,04,Tamaulipas,Depresión,61,17,72,
2014,04,Tamaulipas,Parkinson,10,11,5,
2014,04,Tamaulipas,Alzheimer,5,2,5,
2014,04,Tlaxcala,Depresión,0,0,0,
2014,04,Tlaxcala,Parkinson,0,0,0,
2014,04,Tlaxcala,Alzheimer,0,0,0,
2014,04,Veracruz,Depresión,35,17,65,
2014,04,Veracruz,Parkinson,4,4,1,
2014,04,Veracruz,Alzheimer,2,1,2,
2014,04,Yucatán,Depresión,28,15,50,
2014,04,Yucatán,Parkinson,0,1,3,
2014,04,Yucatán,Alzheimer,1,3,2,
2014,04,Zacatecas,Depresión,19,10,25,
2014,04,Zacatecas,Parkinson,1,1,0,
2014,04,Zacatecas,Alzheimer,0,0,0,
2014,05,Aguascalientes,Depresión,1,2,3,
2014,05,Aguascalientes,Parkinson,0,0,1,
2014,05,Aguascalientes,Alzheimer,0,0,0,
2014,05,Baja California,Depresión,45,30,121,
2014,05,Baja California,Parkinson,6,7,8,
2014,05,Baja California,Alzheimer,3,1,9,
2014,05,Baja California Sur,Depresión,13,5,18,
2014,05,Baja California Sur,Parkinson,2,2,3,
2014,05,Baja California Sur,Alzheimer,0,0,0,
2014,05,Campeche,Depresión,10,6,27,
2014,05,Campeche,Parkinson,2,1,2,
2014,05,Campeche,Alzheimer,1,1,1,
2014,05,Coahuila,Depresión,2,8,42,
2014,05,Coahuila,Parkinson,0,8,4,
2014,05,Coahuila,Alzheimer,0,0,0,
2014,05,Colima,Depresión,17,11,41,
2014,05,Colima,Parkinson,0,2,2,
2014,05,Colima,Alzheimer,2,0,2,
2014,05,Chiapas,Depresión,20,12,31,
2014,05,Chiapas,Parkinson,6,6,4,
2014,05,Chiapas,Alzheimer,1,1,1,
2014,05,Chihuahua,Depresión,43,25,116,
2014,05,Chihuahua,Parkinson,8,10,7,
2014,05,Chihuahua,Alzheimer,2,1,5,
2014,05,Distrito Federal,Depresión,212,124,329,
2014,05,Distrito Federal,Parkinson,10,11,16,
2014,05,Distrito Federal,Alzheimer,4,3,2,
2014,05,Durango,Depresión,9,6,30,
2014,05,Durango,Parkinson,0,1,2,
2014,05,Durango,Alzheimer,0,0,0,
2014,05,Guanajuato,Depresión,4,0,10,
2014,05,Guanajuato,Parkinson,0,0,1,
2014,05,Guanajuato,Alzheimer,0,0,1,
2014,05,Guerrero,Depresión,12,11,33,
2014,05,Guerrero,Parkinson,3,6,6,
2014,05,Guerrero,Alzheimer,0,0,1,
2014,05,Hidalgo,Depresión,30,12,34,
2014,05,Hidalgo,Parkinson,5,5,7,
2014,05,Hidalgo,Alzheimer,0,0,0,
2014,05,Jalisco,Depresión,33,22,50,
2014,05,Jalisco,Parkinson,0,1,0,
2014,05,Jalisco,Alzheimer,0,0,1,
2014,05,México,Depresión,103,50,243,
2014,05,México,Parkinson,19,34,22,
2014,05,México,Alzheimer,6,10,7,
2014,05,Michoacán,Depresión,33,23,73,
2014,05,Michoacán,Parkinson,4,9,6,
2014,05,Michoacán,Alzheimer,1,3,2,
2014,05,Morelos,Depresión,27,21,99,
2014,05,Morelos,Parkinson,2,9,4,
2014,05,Morelos,Alzheimer,1,0,1,
2014,05,Nayarit,Depresión,40,12,59,
2014,05,Nayarit,Parkinson,3,4,2,
2014,05,Nayarit,Alzheimer,1,0,3,
2014,05,Nuevo León,Depresión,57,38,123,
2014,05,Nuevo León,Parkinson,8,10,9,
2014,05,Nuevo León,Alzheimer,3,6,6,
2014,05,Oaxaca,Depresión,17,10,32,
2014,05,Oaxaca,Parkinson,1,4,3,
2014,05,Oaxaca,Alzheimer,1,3,0,
2014,05,Puebla,Depresión,13,7,22,
2014,05,Puebla,Parkinson,3,3,1,
2014,05,Puebla,Alzheimer,0,0,0,
2014,05,Querétaro,Depresión,0,1,4,
2014,05,Querétaro,Parkinson,0,0,0,
2014,05,Querétaro,Alzheimer,0,0,0,
2014,05,Quintana Roo,Depresión,9,9,19,
2014,05,Quintana Roo,Parkinson,2,5,2,
2014,05,Quintana Roo,Alzheimer,0,1,1,
2014,05,San Luis Potosí,Depresión,26,10,47,
2014,05,San Luis Potosí,Parkinson,0,2,1,
2014,05,San Luis Potosí,Alzheimer,1,1,1,
2014,05,Sinaloa,Depresión,40,19,109,
2014,05,Sinaloa,Parkinson,11,17,13,
2014,05,Sinaloa,Alzheimer,3,4,8,
2014,05,Sonora,Depresión,32,19,87,
2014,05,Sonora,Parkinson,2,10,3,
2014,05,Sonora,Alzheimer,5,8,4,
2014,05,Tabasco,Depresión,16,7,29,
2014,05,Tabasco,Parkinson,2,2,2,
2014,05,Tabasco,Alzheimer,0,0,1,
2014,05,Tamaulipas,Depresión,61,24,126,
2014,05,Tamaulipas,Parkinson,8,14,10,
2014,05,Tamaulipas,Alzheimer,1,2,6,
2014,05,Tlaxcala,Depresión,1,0,1,
2014,05,Tlaxcala,Parkinson,0,0,0,
2014,05,Tlaxcala,Alzheimer,0,0,0,
2014,05,Veracruz,Depresión,73,30,125,
2014,05,Veracruz,Parkinson,7,6,6,
2014,05,Veracruz,Alzheimer,0,1,2,
2014,05,Yucatán,Depresión,8,15,58,
2014,05,Yucatán,Parkinson,0,1,3,
2014,05,Yucatán,Alzheimer,0,3,2,
2014,05,Zacatecas,Depresión,16,14,37,
2014,05,Zacatecas,Parkinson,0,1,0,
2014,05,Zacatecas,Alzheimer,0,0,0,
2014,06,Aguascalientes,Depresión,2,2,5,
2014,06,Aguascalientes,Parkinson,0,0,1,
2014,06,Aguascalientes,Alzheimer,0,0,0,
2014,06,Baja California,Depresión,35,38,148,
2014,06,Baja California,Parkinson,9,12,12,
2014,06,Baja California,Alzheimer,4,2,12,
2014,06,Baja California Sur,Depresión,9,8,24,
2014,06,Baja California Sur,Parkinson,2,3,4,
2014,06,Baja California Sur,Alzheimer,0,0,0,
2014,06,Campeche,Depresión,12,9,36,
2014,06,Campeche,Parkinson,1,1,3,
2014,06,Campeche,Alzheimer,3,2,3,
2014,06,Coahuila,Depresión,45,26,99,
2014,06,Coahuila,Parkinson,9,21,14,
2014,06,Coahuila,Alzheimer,1,2,0,
2014,06,Colima,Depresión,14,15,51,
2014,06,Colima,Parkinson,2,3,3,
2014,06,Colima,Alzheimer,0,0,2,
2014,06,Chiapas,Depresión,19,14,48,
2014,06,Chiapas,Parkinson,0,6,4,
2014,06,Chiapas,Alzheimer,2,2,2,
2014,06,Chihuahua,Depresión,52,35,158,
2014,06,Chihuahua,Parkinson,6,11,12,
2014,06,Chihuahua,Alzheimer,0,1,5,
2014,06,Distrito Federal,Depresión,192,175,478,
2014,06,Distrito Federal,Parkinson,46,14,59,
2014,06,Distrito Federal,Alzheimer,2,4,3,
2014,06,Durango,Depresión,1,6,31,
2014,06,Durango,Parkinson,1,2,2,
2014,06,Durango,Alzheimer,1,1,0,
2014,06,Guanajuato,Depresión,7,2,15,
2014,06,Guanajuato,Parkinson,1,0,2,
2014,06,Guanajuato,Alzheimer,0,0,1,
2014,06,Guerrero,Depresión,11,14,41,
2014,06,Guerrero,Parkinson,2,7,7,
2014,06,Guerrero,Alzheimer,3,1,3,
2014,06,Hidalgo,Depresión,16,15,47,
2014,06,Hidalgo,Parkinson,2,6,8,
2014,06,Hidalgo,Alzheimer,0,0,0,
2014,06,Jalisco,Depresión,39,28,83,
2014,06,Jalisco,Parkinson,2,2,1,
2014,06,Jalisco,Alzheimer,0,0,1,
2014,06,México,Depresión,125,81,341,
2014,06,México,Parkinson,10,39,28,
2014,06,México,Alzheimer,4,10,11,
2014,06,Michoacán,Depresión,49,32,115,
2014,06,Michoacán,Parkinson,10,12,13,
2014,06,Michoacán,Alzheimer,5,6,4,
2014,06,Morelos,Depresión,41,33,128,
2014,06,Morelos,Parkinson,3,11,5,
2014,06,Morelos,Alzheimer,0,0,1,
2014,06,Nayarit,Depresión,27,18,80,
2014,06,Nayarit,Parkinson,3,6,3,
2014,06,Nayarit,Alzheimer,2,0,5,
2014,06,Nuevo León,Depresión,38,45,154,
2014,06,Nuevo León,Parkinson,5,12,12,
2014,06,Nuevo León,Alzheimer,4,6,10,
2014,06,Oaxaca,Depresión,26,14,54,
2014,06,Oaxaca,Parkinson,5,7,5,
2014,06,Oaxaca,Alzheimer,1,3,1,
2014,06,Puebla,Depresión,6,15,49,
2014,06,Puebla,Parkinson,1,8,3,
2014,06,Puebla,Alzheimer,0,0,0,
2014,06,Querétaro,Depresión,1,2,4,
2014,06,Querétaro,Parkinson,3,1,2,
2014,06,Querétaro,Alzheimer,0,0,0,
2014,06,Quintana Roo,Depresión,15,13,30,
2014,06,Quintana Roo,Parkinson,4,6,5,
2014,06,Quintana Roo,Alzheimer,2,1,3,
2014,06,San Luis Potosí,Depresión,42,17,82,
2014,06,San Luis Potosí,Parkinson,0,2,1,
2014,06,San Luis Potosí,Alzheimer,0,1,1,
2014,06,Sinaloa,Depresión,36,24,140,
2014,06,Sinaloa,Parkinson,9,21,18,
2014,06,Sinaloa,Alzheimer,2,5,9,
2014,06,Sonora,Depresión,61,34,133,
2014,06,Sonora,Parkinson,5,12,6,
2014,06,Sonora,Alzheimer,3,9,6,
2014,06,Tabasco,Depresión,36,20,52,
2014,06,Tabasco,Parkinson,2,4,2,
2014,06,Tabasco,Alzheimer,0,0,1,
2014,06,Tamaulipas,Depresión,40,29,161,
2014,06,Tamaulipas,Parkinson,5,17,12,
2014,06,Tamaulipas,Alzheimer,2,4,6,
2014,06,Tlaxcala,Depresión,0,0,1,
2014,06,Tlaxcala,Parkinson,0,0,0,
2014,06,Tlaxcala,Alzheimer,0,0,0,
2014,06,Veracruz,Depresión,120,49,226,
2014,06,Veracruz,Parkinson,4,7,9,
2014,06,Veracruz,Alzheimer,0,1,2,
2014,06,Yucatán,Depresión,23,19,77,
2014,06,Yucatán,Parkinson,5,4,5,
2014,06,Yucatán,Alzheimer,0,3,2,
2014,06,Zacatecas,Depresión,11,15,47,
2014,06,Zacatecas,Parkinson,2,1,2,
2014,06,Zacatecas,Alzheimer,0,0,0,
2014,07,Aguascalientes,Depresión,6,6,7,
2014,07,Aguascalientes,Parkinson,0,0,1,
2014,07,Aguascalientes,Alzheimer,0,0,0,
2014,07,Baja California,Depresión,33,45,174,
2014,07,Baja California,Parkinson,7,13,18,
2014,07,Baja California,Alzheimer,1,3,12,
2014,07,Baja California Sur,Depresión,8,9,31,
2014,07,Baja California Sur,Parkinson,0,3,4,
2014,07,Baja California Sur,Alzheimer,0,0,0,
2014,07,Campeche,Depresión,12,13,44,
2014,07,Campeche,Parkinson,0,1,3,
2014,07,Campeche,Alzheimer,1,3,3,
2014,07,Coahuila,Depresión,11,28,108,
2014,07,Coahuila,Parkinson,4,21,18,
2014,07,Coahuila,Alzheimer,3,2,3,
2014,07,Colima,Depresión,18,23,61,
2014,07,Colima,Parkinson,6,5,7,
2014,07,Colima,Alzheimer,0,0,2,
2014,07,Chiapas,Depresión,18,15,65,
2014,07,Chiapas,Parkinson,0,6,4,
2014,07,Chiapas,Alzheimer,0,2,2,
2014,07,Chihuahua,Depresión,47,42,198,
2014,07,Chihuahua,Parkinson,7,14,16,
2014,07,Chihuahua,Alzheimer,0,1,5,
2014,07,Distrito Federal,Depresión,126,201,578,
2014,07,Distrito Federal,Parkinson,10,18,65,
2014,07,Distrito Federal,Alzheimer,1,4,4,
2014,07,Durango,Depresión,17,10,44,
2014,07,Durango,Parkinson,0,2,2,
2014,07,Durango,Alzheimer,1,1,1,
2014,07,Guanajuato,Depresión,3,2,18,
2014,07,Guanajuato,Parkinson,2,1,3,
2014,07,Guanajuato,Alzheimer,0,0,1,
2014,07,Guerrero,Depresión,6,14,47,
2014,07,Guerrero,Parkinson,3,10,7,
2014,07,Guerrero,Alzheimer,2,2,4,
2014,07,Hidalgo,Depresión,25,23,64,
2014,07,Hidalgo,Parkinson,6,10,10,
2014,07,Hidalgo,Alzheimer,0,0,0,
2014,07,Jalisco,Depresión,29,32,108,
2014,07,Jalisco,Parkinson,5,3,5,
2014,07,Jalisco,Alzheimer,2,1,2,
2014,07,México,Depresión,95,96,422,
2014,07,México,Parkinson,16,46,37,
2014,07,México,Alzheimer,0,10,11,
2014,07,Michoacán,Depresión,25,33,137,
2014,07,Michoacán,Parkinson,2,12,15,
2014,07,Michoacán,Alzheimer,0,6,4,
2014,07,Morelos,Depresión,18,36,143,
2014,07,Morelos,Parkinson,3,14,5,
2014,07,Morelos,Alzheimer,2,0,3,
2014,07,Nayarit,Depresión,31,25,104,
2014,07,Nayarit,Parkinson,1,6,4,
2014,07,Nayarit,Alzheimer,1,0,6,
2014,07,Nuevo León,Depresión,41,60,180,
2014,07,Nuevo León,Parkinson,7,14,17,
2014,07,Nuevo León,Alzheimer,3,7,12,
2014,07,Oaxaca,Depresión,36,22,82,
2014,07,Oaxaca,Parkinson,2,9,5,
2014,07,Oaxaca,Alzheimer,1,3,2,
2014,07,Puebla,Depresión,9,16,57,
2014,07,Puebla,Parkinson,2,9,4,
2014,07,Puebla,Alzheimer,0,0,0,
2014,07,Querétaro,Depresión,6,4,8,
2014,07,Querétaro,Parkinson,0,1,2,
2014,07,Querétaro,Alzheimer,0,0,0,
2014,07,Quintana Roo,Depresión,13,17,39,
2014,07,Quintana Roo,Parkinson,1,6,6,
2014,07,Quintana Roo,Alzheimer,1,1,4,
2014,07,San Luis Potosí,Depresión,48,26,121,
2014,07,San Luis Potosí,Parkinson,0,2,1,
2014,07,San Luis Potosí,Alzheimer,1,2,1,
2014,07,Sinaloa,Depresión,35,36,163,
2014,07,Sinaloa,Parkinson,11,26,24,
2014,07,Sinaloa,Alzheimer,4,6,12,
2014,07,Sonora,Depresión,28,40,155,
2014,07,Sonora,Parkinson,6,16,8,
2014,07,Sonora,Alzheimer,3,10,8,
2014,07,Tabasco,Depresión,21,22,71,
2014,07,Tabasco,Parkinson,3,7,2,
2014,07,Tabasco,Alzheimer,0,0,1,
2014,07,Tamaulipas,Depresión,34,40,184,
2014,07,Tamaulipas,Parkinson,7,22,14,
2014,07,Tamaulipas,Alzheimer,2,6,6,
2014,07,Tlaxcala,Depresión,0,0,1,
2014,07,Tlaxcala,Parkinson,0,0,0,
2014,07,Tlaxcala,Alzheimer,0,0,0,
2014,07,Veracruz,Depresión,99,67,307,
2014,07,Veracruz,Parkinson,3,7,12,
2014,07,Veracruz,Alzheimer,1,2,2,
2014,07,Yucatán,Depresión,16,23,89,
