anio,semana,estado,enfermedad,casos_semana,acumulado_hombres,acumulado_mujeres,acumulado_anio_anterior
2025,46,Morelos,Depresión,88,674,2228,2786
2025,46,Morelos,Parkinson,8,141,131,272
2025,46,Morelos,Alzheimer,1,20,24,35
2025,46,Nayarit,Depresión,113,1345,2539,3071
2025,46,Nayarit,Parkinson,1,24,11,32
2025,46,Nayarit,Alzheimer,2,25,36,32
2025,46,Nuevo León,Depresión,79,1459,4118,5115
2025,46,Nuevo León,Parkinson,4,136,108,247
2025,46,Nuevo León,Alzheimer,1,45,67,98
2025,46,Oaxaca,Depresión,63,876,1435,2009
2025,46,Oaxaca,Parkinson,5,81,73,139
2025,46,Oaxaca,Alzheimer,1,27,37,78
2025,46,Puebla,Depresión,74,707,2008,3577
2025,46,Puebla,Parkinson,4,65,69,223
2025,46,Puebla,Alzheimer,,16,15,35
2025,46,Querétaro,Depresión,29,237,869,1138
2025,46,Querétaro,Parkinson,,17,21,39
2025,46,Querétaro,Alzheimer,,5,4,11
2025,46,Quintana Roo,Depresión,32,337,930,1662
2025,46,Quintana Roo,Parkinson,7,46,59,80
2025,46,Quintana Roo,Alzheimer,,4,13,20
2025,46,San Luis Potosí,Depresión,54,651,1986,3073
2025,46,San Luis Potosí,Parkinson,1,52,44,159
2025,46,San Luis Potosí,Alzheimer,,2,6,57
2025,46,Sinaloa,Depresión,80,1174,2903,4870
2025,46,Sinaloa,Parkinson,9,246,226,393
2025,46,Sinaloa,Alzheimer,2,54,76,143
2025,46,Sonora,Depresión,66,656,1995,3362
2025,46,Sonora,Parkinson,5,79,59,140
2025,46,Sonora,Alzheimer,3,25,36,58
2025,46,Tabasco,Depresión,59,1183,2556,4239
2025,46,Tabasco,Parkinson,2,68,63,145
2025,46,Tabasco,Alzheimer,,13,10,56
2025,46,Tamaulipas,Depresión,51,717,2147,3345
2025,46,Tamaulipas,Parkinson,12,178,170,376
2025,46,Tamaulipas,Alzheimer,2,34,56,163
2025,46,Tlaxcala,Depresión,13,246,840,1448
2025,46,Tlaxcala,Parkinson,,9,16,52
2025,46,Tlaxcala,Alzheimer,,4,1,6
2025,46,Veracruz,Depresión,111,1310,4510,5724
2025,46,Veracruz,Parkinson,8,390,298,691
2025,46,Veracruz,Alzheimer,,38,57,118
2025,46,Yucatán,Depresión,92,1143,3317,3524
2025,46,Yucatán,Parkinson,6,92,69,131
2025,46,Yucatán,Alzheimer,,7,8,29
2025,46,Zacatecas,Depresión,63,494,1742,2522
2025,46,Zacatecas,Parkinson,,19,21,20
2025,46,Zacatecas,Alzheimer,1,5,6,12
2025,47,Aguascalientes,Depresión,30,455,1141,1307
2025,47,Aguascalientes,Parkinson,1,28,21,68
2025,47,Aguascalientes,Alzheimer,1,8,7,22
2025,47,Baja California,Depresión,114,1424,3312,4694
2025,47,Baja California,Parkinson,2,64,63,130
2025,47,Baja California,Alzheimer,,17,38,71
2025,47,Baja California Sur,Depresión,14,186,478,774
2025,47,Baja California Sur,Parkinson,2,46,19,44
2025,47,Baja California Sur,Alzheimer,,5,10,11
2025,47,Campeche,Depresión,51,398,1081,1323
2025,47,Campeche,Parkinson,2,77,38,96
2025,47,Campeche,Alzheimer,,10,8,19
2025,47,Coahuila,Depresión,37,734,1776,2417
2025,47,Coahuila,Parkinson,1,66,61,199
2025,47,Coahuila,Alzheimer,1,37,41,81
2025,47,Colima,Depresión,64,896,1705,2574
2025,47,Colima,Parkinson,11,97,86,262
2025,47,Colima,Alzheimer,1,20,27,32
2025,47,Chiapas,Depresión,82,758,2713,3074
2025,47,Chiapas,Parkinson,4,85,68,144
2025,47,Chiapas,Alzheimer,,16,22,38
2025,47,Chihuahua,Depresión,138,1901,5092,7206
2025,47,Chihuahua,Parkinson,8,179,224,459
2025,47,Chihuahua,Alzheimer,7,73,131,162
2025,47,Ciudad de México,Depresión,443,5874,15998,21278
2025,47,Ciudad de México,Parkinson,3,118,98,334
2025,47,Ciudad de México,Alzheimer,2,30,48,86
2025,47,Durango,Depresión,65,882,2954,4116
2025,47,Durango,Parkinson,1,131,126,358
2025,47,Durango,Alzheimer,,35,25,56
2025,47,Guanajuato,Depresión,96,1170,4013,5559
2025,47,Guanajuato,Parkinson,5,114,121,167
2025,47,Guanajuato,Alzheimer,2,20,46,58
2025,47,Guerrero,Depresión,86,873,2505,2506
2025,47,Guerrero,Parkinson,2,77,69,112
2025,47,Guerrero,Alzheimer,1,11,24,25
2025,47,Hidalgo,Depresión,57,625,2545,2849
2025,47,Hidalgo,Parkinson,2,46,41,76
2025,47,Hidalgo,Alzheimer,,8,25,29
2025,47,Jalisco,Depresión,284,2992,6527,9434
2025,47,Jalisco,Parkinson,9,355,376,650
2025,47,Jalisco,Alzheimer,6,59,103,164
2025,47,México,Depresión,213,2364,7415,9626
2025,47,México,Parkinson,6,199,201,346
2025,47,México,Alzheimer,2,41,68,56
2025,47,Michoacán,Depresión,117,1678,4598,6867
2025,47,Michoacán,Parkinson,5,165,149,390
2025,47,Michoacán,Alzheimer,,28,38,69
2025,47,Morelos,Depresión,66,689,2279,2850
2025,47,Morelos,Parkinson,15,146,141,275
2025,47,Morelos,Alzheimer,2,21,25,38
2025,47,Nayarit,Depresión,97,1392,2593,3112
2025,47,Nayarit,Parkinson,,24,11,32
2025,47,Nayarit,Alzheimer,1,25,37,33
2025,47,Nuevo León,Depresión,131,1494,4233,5032
2025,47,Nuevo León,Parkinson,1,137,108,245
2025,47,Nuevo León,Alzheimer,1,45,68,99
2025,47,Oaxaca,Depresión,31,884,1458,2144
2025,47,Oaxaca,Parkinson,3,81,76,142
2025,47,Oaxaca,Alzheimer,4,28,40,78
2025,47,Puebla,Depresión,60,722,2073,3494
2025,47,Puebla,Parkinson,6,105,108,164
2025,47,Puebla,Alzheimer,,17,18,31
2025,47,Querétaro,Depresión,15,237,882,1159
2025,47,Querétaro,Parkinson,1,17,22,40
2025,47,Querétaro,Alzheimer,,5,4,11
2025,47,Quintana Roo,Depresión,20,340,948,1677
2025,47,Quintana Roo,Parkinson,3,47,61,81
2025,47,Quintana Roo,Alzheimer,,4,13,21
2025,47,San Luis Potosí,Depresión,34,660,2011,3126
2025,47,San Luis Potosí,Parkinson,,52,44,160
2025,47,San Luis Potosí,Alzheimer,,2,6,58
2025,47,Sinaloa,Depresión,81,1193,2965,4980
2025,47,Sinaloa,Parkinson,11,253,230,407
2025,47,Sinaloa,Alzheimer,5,55,80,144
2025,47,Sonora,Depresión,53,673,2031,3410
2025,47,Sonora,Parkinson,7,83,62,145
2025,47,Sonora,Alzheimer,2,27,36,58
2025,47,Tabasco,Depresión,75,1211,2595,4342
2025,47,Tabasco,Parkinson,,68,63,146
2025,47,Tabasco,Alzheimer,,13,10,57
2025,47,Tamaulipas,Depresión,63,736,2191,3411
2025,47,Tamaulipas,Parkinson,9,184,173,390
2025,47,Tamaulipas,Alzheimer,4,35,59,166
2025,47,Tlaxcala,Depresión,20,252,856,1478
2025,47,Tlaxcala,Parkinson,1,9,17,52
2025,47,Tlaxcala,Alzheimer,,4,1,6
2025,47,Veracruz,Depresión,94,1323,4594,5818
2025,47,Veracruz,Parkinson,12,397,304,708
2025,47,Veracruz,Alzheimer,4,39,60,122
2025,47,Yucatán,Depresión,108,1169,3399,3566
2025,47,Yucatán,Parkinson,6,96,71,136
2025,47,Yucatán,Alzheimer,,7,8,29
2025,47,Zacatecas,Depresión,52,503,1785,2588
2025,47,Zacatecas,Parkinson,,19,21,22
2025,47,Zacatecas,Alzheimer,,5,6,13
2025,11,Aguascalientes,Depresión,25,85,235,302
2025,11,Aguascalientes,Parkinson,1,5,2,13
2025,11,Aguascalientes,Alzheimer,1,4,1,6
2025,11,Baja California,Depresión,117,362,662,1064
2025,11,Baja California,Parkinson,,12,6,36
2025,11,Baja California,Alzheimer,1,6,13,17
2025,11,Baja California Sur,Depresión,16,40,101,193
2025,11,Baja California Sur,Parkinson,4,7,4,18
2025,11,Baja California Sur,Alzheimer,,3,2,4
2025,11,Campeche,Depresión,31,105,237,291
2025,11,Campeche,Parkinson,6,16,11,28
2025,11,Campeche,Alzheimer,,5,3,7
2025,11,Coahuila,Depresión,80,150,386,516
2025,11,Coahuila,Parkinson,4,14,12,56
2025,11,Coahuila,Alzheimer,,9,14,20
2025,11,Colima,Depresión,52,187,327,637
2025,11,Colima,Parkinson,8,29,23,63
2025,11,Colima,Alzheimer,,3,4,14
2025,11,Chiapas,Depresión,44,152,521,693
2025,11,Chiapas,Parkinson,2,17,15,28
2025,11,Chiapas,Alzheimer,1,1,5,8
2025,11,Chihuahua,Depresión,146,366,959,1725
2025,11,Chihuahua,Parkinson,12,47,53,113
2025,11,Chihuahua,Alzheimer,2,13,25,34
2025,11,Ciudad de México,Depresión,506,1183,3215,4770
2025,11,Ciudad de México,Parkinson,4,22,19,84
2025,11,Ciudad de México,Alzheimer,,3,7,17
2025,11,Durango,Depresión,48,143,511,889
2025,11,Durango,Parkinson,,41,35,85
2025,11,Durango,Alzheimer,,7,5,14
2025,11,Guanajuato,Depresión,115,248,883,1260
2025,11,Guanajuato,Parkinson,4,20,25,32
2025,11,Guanajuato,Alzheimer,1,4,7,13
2025,11,Guerrero,Depresión,52,117,440,571
2025,11,Guerrero,Parkinson,2,20,9,24
2025,11,Guerrero,Alzheimer,,2,2,2
2025,11,Hidalgo,Depresión,49,90,544,631
2025,11,Hidalgo,Parkinson,,6,11,17
2025,11,Hidalgo,Alzheimer,1,3,11,5
2025,11,Jalisco,Depresión,264,544,1190,2004
2025,11,Jalisco,Parkinson,25,80,76,154
2025,11,Jalisco,Alzheimer,7,20,28,25
2025,11,México,Depresión,228,635,1565,2287
2025,11,México,Parkinson,5,52,27,81
2025,11,México,Alzheimer,1,11,13,11
2025,11,Michoacán,Depresión,131,387,971,1175
2025,11,Michoacán,Parkinson,4,60,45,87
2025,11,Michoacán,Alzheimer,2,10,10,24
2025,11,Morelos,Depresión,63,131,450,590
2025,11,Morelos,Parkinson,6,24,22,80
2025,11,Morelos,Alzheimer,1,4,6,9
2025,11,Nayarit,Depresión,67,250,505,574
2025,11,Nayarit,Parkinson,1,4,4,5
2025,11,Nayarit,Alzheimer,2,6,12,7
2025,11,Nuevo León,Depresión,175,314,867,1008
2025,11,Nuevo León,Parkinson,8,31,19,55
2025,11,Nuevo León,Alzheimer,2,11,10,13
2025,11,Oaxaca,Depresión,47,157,322,419
2025,11,Oaxaca,Parkinson,2,26,16,34
2025,11,Oaxaca,Alzheimer,1,7,11,26
2025,11,Puebla,Depresión,65,151,439,671
2025,11,Puebla,Parkinson,,7,7,18
2025,11,Puebla,Alzheimer,1,7,2,4
2025,11,Querétaro,Depresión,25,59,209,305
2025,11,Querétaro,Parkinson,1,4,3,17
2025,11,Querétaro,Alzheimer,1,,1,4
2025,11,Quintana Roo,Depresión,19,65,185,398
2025,11,Quintana Roo,Parkinson,2,14,17,13
2025,11,Quintana Roo,Alzheimer,1,1,5,5
2025,11,San Luis Potosí,Depresión,56,140,467,727
2025,11,San Luis Potosí,Parkinson,3,13,12,39
2025,11,San Luis Potosí,Alzheimer,,,3,22
2025,11,Sinaloa,Depresión,86,248,611,1303
2025,11,Sinaloa,Parkinson,19,59,60,97
2025,11,Sinaloa,Alzheimer,4,15,17,42
2025,11,Sonora,Depresión,66,154,416,726
2025,11,Sonora,Parkinson,6,13,5,32
2025,11,Sonora,Alzheimer,4,6,8,18
2025,11,Tabasco,Depresión,67,279,542,970
2025,11,Tabasco,Parkinson,5,13,14,29
2025,11,Tabasco,Alzheimer,,7,2,7
2025,11,Tamaulipas,Depresión,53,132,417,836
2025,11,Tamaulipas,Parkinson,9,43,40,87
2025,11,Tamaulipas,Alzheimer,4,6,15,38
2025,11,Tlaxcala,Depresión,35,64,222,283
2025,11,Tlaxcala,Parkinson,1,3,3,7
2025,11,Tlaxcala,Alzheimer,1,1,,2
2025,11,Veracruz,Depresión,164,326,979,1270
2025,11,Veracruz,Parkinson,17,88,75,165
2025,11,Veracruz,Alzheimer,4,11,18,36
2025,11,Yucatán,Depresión,81,221,620,710
2025,11,Yucatán,Parkinson,,14,11,20
2025,11,Yucatán,Alzheimer,,1,2,10
2025,11,Zacatecas,Depresión,42,78,287,443
2025,11,Zacatecas,Parkinson,,2,3,3
2025,11,Zacatecas,Alzheimer,,1,2,2
2025,15,Aguascalientes,Depresión,37,116,350,428
2025,15,Aguascalientes,Parkinson,1,7,4,24
2025,15,Aguascalientes,Alzheimer,,5,2,6
2025,15,Baja California,Depresión,105,465,911,1482
2025,15,Baja California,Parkinson,4,19,8,44
2025,15,Baja California,Alzheimer,4,9,19,24
2025,15,Baja California Sur,Depresión,13,62,165,259
2025,15,Baja California Sur,Parkinson,2,14,8,23
2025,15,Baja California Sur,Alzheimer,1,3,3,5
2025,15,Campeche,Depresión,37,142,319,398
2025,15,Campeche,Parkinson,1,22,12,35
2025,15,Campeche,Alzheimer,,5,3,7
2025,15,Coahuila,Depresión,41,212,509,678
2025,15,Coahuila,Parkinson,5,22,20,75
2025,15,Coahuila,Alzheimer,1,16,23,25
2025,15,Colima,Depresión,60,263,492,853
2025,15,Colima,Parkinson,4,38,29,87
2025,15,Colima,Alzheimer,,6,8,16
2025,15,Chiapas,Depresión,72,220,744,925
2025,15,Chiapas,Parkinson,2,23,20,46
2025,15,Chiapas,Alzheimer,,3,5,10
2025,15,Chihuahua,Depresión,137,514,1334,2335
2025,15,Chihuahua,Parkinson,6,61,66,160
2025,15,Chihuahua,Alzheimer,3,17,35,50
2025,15,Ciudad de México,Depresión,501,1773,4695,6561
2025,15,Ciudad de México,Parkinson,6,32,29,114
2025,15,Ciudad de México,Alzheimer,,7,8,31
2025,15,Durango,Depresión,62,217,731,1180
2025,15,Durango,Parkinson,6,62,55,112
2025,15,Durango,Alzheimer,,12,9,19
2025,15,Guanajuato,Depresión,104,354,1247,1715
2025,15,Guanajuato,Parkinson,9,30,41,45
2025,15,Guanajuato,Alzheimer,,4,8,19
2025,15,Guerrero,Depresión,48,180,588,804
2025,15,Guerrero,Parkinson,5,28,17,37
2025,15,Guerrero,Alzheimer,,2,5,10
2025,15,Hidalgo,Depresión,84,144,775,903
2025,15,Hidalgo,Parkinson,,7,12,23
2025,15,Hidalgo,Alzheimer,,3,12,9
2025,15,Jalisco,Depresión,120,785,1757,2763
2025,15,Jalisco,Parkinson,13,105,107,189
2025,15,Jalisco,Alzheimer,2,23,32,43
2025,15,México,Depresión,232,849,2344,3056
2025,15,México,Parkinson,2,68,46,119
2025,15,México,Alzheimer,4,13,20,17
2025,15,Michoacán,Depresión,138,538,1401,1752
2025,15,Michoacán,Parkinson,10,76,62,103
2025,15,Michoacán,Alzheimer,1,12,11,30
2025,15,Morelos,Depresión,68,187,647,840
2025,15,Morelos,Parkinson,1,28,28,105
2025,15,Morelos,Alzheimer,1,4,8,17
2025,15,Nayarit,Depresión,86,356,740,840
2025,15,Nayarit,Parkinson,,8,6,6
2025,15,Nayarit,Alzheimer,,7,15,10
2025,15,Nuevo León,Depresión,147,476,1263,1366
2025,15,Nuevo León,Parkinson,6,45,27,71
2025,15,Nuevo León,Alzheimer,2,14,19,27
2025,15,Oaxaca,Depresión,39,240,458,568
2025,15,Oaxaca,Parkinson,2,36,23,41
2025,15,Oaxaca,Alzheimer,1,11,16,34
2025,15,Puebla,Depresión,42,219,605,978
2025,15,Puebla,Parkinson,3,16,23,47
2025,15,Puebla,Alzheimer,,10,4,8
2025,15,Querétaro,Depresión,23,82,295,374
2025,15,Querétaro,Parkinson,,4,3,18
2025,15,Querétaro,Alzheimer,,,1,5
2025,15,Quintana Roo,Depresión,35,117,292,571
2025,15,Quintana Roo,Parkinson,,15,26,19
2025,15,Quintana Roo,Alzheimer,,1,5,8
2025,15,San Luis Potosí,Depresión,70,203,645,947
2025,15,San Luis Potosí,Parkinson,3,21,19,49
2025,15,San Luis Potosí,Alzheimer,,,4,31
2025,15,Sinaloa,Depresión,111,374,900,1718
2025,15,Sinaloa,Parkinson,12,72,88,127
2025,15,Sinaloa,Alzheimer,2,20,25,53
2025,15,Sonora,Depresión,68,202,585,1012
2025,15,Sonora,Parkinson,6,25,11,42
2025,15,Sonora,Alzheimer,1,9,8,21
2025,15,Tabasco,Depresión,92,413,768,1370
2025,15,Tabasco,Parkinson,,19,17,42
2025,15,Tabasco,Alzheimer,,7,3,11
2025,15,Tamaulipas,Depresión,99,224,668,1142
2025,15,Tamaulipas,Parkinson,4,71,59,120
2025,15,Tamaulipas,Alzheimer,2,12,18,49
2025,15,Tlaxcala,Depresión,25,93,309,447
2025,15,Tlaxcala,Parkinson,,3,3,9
2025,15,Tlaxcala,Alzheimer,,1,,3
2025,15,Veracruz,Depresión,122,437,1437,1748
2025,15,Veracruz,Parkinson,21,127,102,232
2025,15,Veracruz,Alzheimer,2,16,21,52
2025,15,Yucatán,Depresión,121,340,952,1047
2025,15,Yucatán,Parkinson,5,22,19,29
2025,15,Yucatán,Alzheimer,1,2,3,13
2025,15,Zacatecas,Depresión,42,107,441,684
2025,15,Zacatecas,Parkinson,,2,5,4
2025,15,Zacatecas,Alzheimer,,1,2,2
2025,41,Aguascalientes,Depresión,33,379,975,1144
2025,41,Aguascalientes,Parkinson,1,23,17,56
2025,41,Aguascalientes,Alzheimer,,8,5,18
2025,41,Baja California,Depresión,108,1229,2851,4155
2025,41,Baja California,Parkinson,2,57,55,109
2025,41,Baja California,Alzheimer,1,17,35,60
2025,41,Baja California Sur,Depresión,12,158,415,676
2025,41,Baja California Sur,Parkinson,,39,19,40
2025,41,Baja California Sur,Alzheimer,1,5,10,10
2025,41,Campeche,Depresión,39,343,894,1124
2025,41,Campeche,Parkinson,1,70,35,92
2025,41,Campeche,Alzheimer,,9,7,17
2025,41,Coahuila,Depresión,53,673,1582,2041
2025,41,Coahuila,Parkinson,3,62,57,169
2025,41,Coahuila,Alzheimer,1,42,37,49
2025,41,Colima,Depresión,48,745,1451,2248
2025,41,Colima,Parkinson,2,83,74,226
2025,41,Colima,Alzheimer,,15,26,31
2025,41,Chiapas,Depresión,68,644,2280,2605
2025,41,Chiapas,Parkinson,4,76,53,129
2025,41,Chiapas,Alzheimer,3,14,18,35
2025,41,Chihuahua,Depresión,177,1656,4385,6319
2025,41,Chihuahua,Parkinson,13,166,200,403
2025,41,Chihuahua,Alzheimer,5,62,111,135
2025,41,Ciudad de México,Depresión,487,4998,13865,18571
2025,41,Ciudad de México,Parkinson,4,106,82,293
2025,41,Ciudad de México,Alzheimer,4,28,40,77
2025,41,Durango,Depresión,49,721,2434,3548
2025,41,Durango,Parkinson,,118,112,307
2025,41,Durango,Alzheimer,,29,15,48
2025,41,Guanajuato,Depresión,122,1006,3509,4796
2025,41,Guanajuato,Parkinson,8,99,105,142
2025,41,Guanajuato,Alzheimer,1,15,38,49
2025,41,Guerrero,Depresión,86,726,2097,2211
2025,41,Guerrero,Parkinson,3,72,65,100
2025,41,Guerrero,Alzheimer,,9,24,25
2025,41,Hidalgo,Depresión,75,539,2187,2467
2025,41,Hidalgo,Parkinson,3,40,39,70
2025,41,Hidalgo,Alzheimer,,8,25,24
2025,41,Jalisco,Depresión,231,2486,5543,8121
2025,41,Jalisco,Parkinson,19,322,334,558
2025,41,Jalisco,Alzheimer,4,50,96,143
2025,41,México,Depresión,221,1990,6402,8320
2025,41,México,Parkinson,3,171,167,307
2025,41,México,Alzheimer,2,37,60,48
2025,41,Michoacán,Depresión,136,1472,4010,5924
2025,41,Michoacán,Parkinson,2,150,135,328
2025,41,Michoacán,Alzheimer,,26,33,62
2025,41,Morelos,Depresión,76,601,1937,2398
2025,41,Morelos,Parkinson,9,117,112,248
2025,41,Morelos,Alzheimer,1,15,20,35
2025,41,Nayarit,Depresión,77,1123,2149,2635
2025,41,Nayarit,Parkinson,2,20,9,29
2025,41,Nayarit,Alzheimer,1,17,29,29
2025,41,Nuevo León,Depresión,153,1327,3713,4382
2025,41,Nuevo León,Parkinson,8,121,99,210
2025,41,Nuevo León,Alzheimer,3,41,57,87
2025,41,Oaxaca,Depresión,38,741,1264,1635
2025,41,Oaxaca,Parkinson,4,75,63,127
2025,41,Oaxaca,Alzheimer,,23,30,73
2025,41,Puebla,Depresión,60,597,1714,3057
2025,41,Puebla,Parkinson,4,56,63,153
2025,41,Puebla,Alzheimer,2,15,14,28
2025,41,Querétaro,Depresión,25,222,770,997
2025,41,Querétaro,Parkinson,,15,18,37
2025,41,Querétaro,Alzheimer,,4,4,9
2025,41,Quintana Roo,Depresión,9,277,836,1497
2025,41,Quintana Roo,Parkinson,3,36,51,71
2025,41,Quintana Roo,Alzheimer,,4,9,18
2025,41,San Luis Potosí,Depresión,52,573,1768,2757
2025,41,San Luis Potosí,Parkinson,2,42,39,147
2025,41,San Luis Potosí,Alzheimer,,2,6,55
2025,41,Sinaloa,Depresión,83,1029,2578,4379
2025,41,Sinaloa,Parkinson,14,210,201,357
2025,41,Sinaloa,Alzheimer,,52,67,128
2025,41,Sonora,Depresión,70,580,1749,3019
2025,41,Sonora,Parkinson,7,68,51,127
2025,41,Sonora,Alzheimer,1,20,31,57
2025,41,Tabasco,Depresión,93,1101,2280,3773
2025,41,Tabasco,Parkinson,,61,56,127
2025,41,Tabasco,Alzheimer,1,13,10,44
2025,41,Tamaulipas,Depresión,64,628,1919,2967
2025,41,Tamaulipas,Parkinson,4,156,156,321
2025,41,Tamaulipas,Alzheimer,,30,49,138
2025,41,Tlaxcala,Depresión,15,222,756,1327
2025,41,Tlaxcala,Parkinson,1,9,15,49
2025,41,Tlaxcala,Alzheimer,,3,1,6
2025,41,Veracruz,Depresión,132,1280,4299,5085
2025,41,Veracruz,Parkinson,18,356,270,610
2025,41,Veracruz,Alzheimer,2,31,50,107
2025,41,Yucatán,Depresión,83,1001,2887,3137
2025,41,Yucatán,Parkinson,4,73,66,114
2025,41,Yucatán,Alzheimer,,7,8,24
2025,41,Zacatecas,Depresión,61,413,1505,2237
2025,41,Zacatecas,Parkinson,1,18,18,18
2025,41,Zacatecas,Alzheimer,1,5,5,10
2025,42,Aguascalientes,Depresión,43,392,1007,1167
2025,42,Aguascalientes,Parkinson,2,24,18,59
2025,42,Aguascalientes,Alzheimer,,8,5,19
2025,42,Baja California,Depresión,110,1262,2927,4255
2025,42,Baja California,Parkinson,2,58,56,112
2025,42,Baja California,Alzheimer,3,17,38,61
2025,42,Baja California Sur,Depresión,9,159,423,704
2025,42,Baja California Sur,Parkinson,,39,19,40
2025,42,Baja California Sur,Alzheimer,,5,10,10
2025,42,Campeche,Depresión,33,348,922,1148
2025,42,Campeche,Parkinson,,70,35,92
2025,42,Campeche,Alzheimer,2,10,8,17
2025,42,Coahuila,Depresión,72,692,1645,2102
2025,42,Coahuila,Parkinson,3,65,57,173
2025,42,Coahuila,Alzheimer,1,42,38,54
2025,42,Colima,Depresión,64,770,1490,2319
2025,42,Colima,Parkinson,5,84,78,232
2025,42,Colima,Alzheimer,1,16,26,31
2025,42,Chiapas,Depresión,88,664,2350,2675
2025,42,Chiapas,Parkinson,2,78,53,130
2025,42,Chiapas,Alzheimer,,14,18,36
2025,42,Chihuahua,Depresión,166,1704,4519,6509
2025,42,Chihuahua,Parkinson,5,168,203,415
2025,42,Chihuahua,Alzheimer,6,64,115,139
2025,42,Ciudad de México,Depresión,521,5150,14257,19068
2025,42,Ciudad de México,Parkinson,5,109,88,298
2025,42,Ciudad de México,Alzheimer,4,30,42,77
2025,42,Durango,Depresión,101,753,2549,3643
2025,42,Durango,Parkinson,3,119,114,317
2025,42,Durango,Alzheimer,1,33,19,49
2025,42,Guanajuato,Depresión,116,1028,3603,4929
2025,42,Guanajuato,Parkinson,4,101,107,146
2025,42,Guanajuato,Alzheimer,1,15,39,51
2025,42,Guerrero,Depresión,86,749,2164,2270
2025,42,Guerrero,Parkinson,2,73,66,106
2025,42,Guerrero,Alzheimer,,9,24,25
2025,42,Hidalgo,Depresión,77,557,2252,2530
2025,42,Hidalgo,Parkinson,1,41,39,71
2025,42,Hidalgo,Alzheimer,,8,25,26
2025,42,Jalisco,Depresión,174,2537,5668,8277
2025,42,Jalisco,Parkinson,8,326,338,576
2025,42,Jalisco,Alzheimer,1,51,96,148
2025,42,México,Depresión,229,2059,6589,8542
2025,42,México,Parkinson,10,177,173,309
2025,42,México,Alzheimer,4,38,63,50
2025,42,Michoacán,Depresión,136,1520,4101,6070
2025,42,Michoacán,Parkinson,6,153,138,335
2025,42,Michoacán,Alzheimer,3,26,36,62
2025,42,Morelos,Depresión,68,608,1998,2475
2025,42,Morelos,Parkinson,5,121,113,248
2025,42,Morelos,Alzheimer,4,16,23,35
2025,42,Nayarit,Depresión,114,1161,2229,2783
2025,42,Nayarit,Parkinson,,20,9,29
2025,42,Nayarit,Alzheimer,2,17,31,30
2025,42,Nuevo León,Depresión,156,1361,3835,4481
2025,42,Nuevo León,Parkinson,7,128,99,218
2025,42,Nuevo León,Alzheimer,3,41,60,92
2025,42,Oaxaca,Depresión,59,770,1301,1685
2025,42,Oaxaca,Parkinson,3,76,67,130
2025,42,Oaxaca,Alzheimer,2,23,32,75
2025,42,Puebla,Depresión,65,609,1769,3129
2025,42,Puebla,Parkinson,4,58,65,154
2025,42,Puebla,Alzheimer,,15,14,28
